position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
69,2025-03-01,2026-02-28,TPCG PARK AT SAN MARINO LLC,14501 EMPANADA DR,89,0.154,29.694661,-95.639898
70,2025-03-01,2026-02-28,WAREHOUSE DISTRICT (77002),813 MCKEE ST,88,0.154,29.767803,-95.352783
71,2025-03-01,2026-02-28,"OMNINET MEYERLAND, LLC",8950 CHIMNEY ROCK RD,88,0.154,29.680948,-95.477841
72,2025-03-01,2026-02-28,MOMENTUM LAKE HOUSTON TX,14100 WILL CLAYTON PKWY,87,0.154,29.97816,-95.160411
73,2025-03-01,2026-02-28,CASHEL SPRINGS,14222 WUNDERLICH DR,87,0.154,29.988662,-95.507881
74,2025-03-01,2026-02-28,"HOUSTON LEASED HOUSING ASSOCIATES V, LLLP",9393 TIDWELL RD,86,0.154,29.851919,-95.249699
75,2025-03-01,2026-02-28,CASA DEL MAR,2431 FARM TO MARKET RD 1960TH RD W,85,0.154,30.003987,-95.466291
76,2025-03-01,2026-02-28,THE RETREAT AT LAKESIDE,18200 WESTFIELD PLACE DR,84,0.154,30.030599,-95.432741
77,2025-03-01,2026-02-28,2016 BAYTOWN WARD RD LLC,2700 WARD RD,84,0.154,29.741829,-94.931438
78,2025-03-01,2026-02-28,"BELLA PALAZZO, LLC",13098 WESTHEIMER RD,84,0.154,29.73654,-95.619531
79,2025-03-01,2026-02-28,MAA FALL CREEK,8440 BW 8,84,0.154,29.935924,-95.263501
80,2025-03-01,2026-02-28,S2 BROMPTON COURT LP,7490 BROMPTON ST,84,0.154,29.699131,-95.423308
81,2025-03-01,2026-02-28,"14335 ELLA, LLC",14335 ELLA BLVD,83,0.154,29.974174,-95.439071
82,2025-03-01,2026-02-28,HOUSTON HOUSE,1617 FANNIN ST,83,0.154,29.751437,-95.367576
83,2025-03-01,2026-02-28,CASA VERDE APARTMENTS,1 GOODSON DR,83,0.154,29.925356,-95.406879
84,2025-03-01,2026-02-28,BH COPPER PROPERTY LLC,1000 CYPRESS STATION DR,83,0.154,30.024759,-95.440644
85,2025-03-01,2026-02-28,HOUSTON PORTFOLIO TX2 LLC,4224 CYPRESS CREEK PKWY,82,0.154,29.991146,-95.495483
86,2025-03-01,2026-02-28,HUNTINGTON AT STONEFIELD,13100 STONEFIELD DR,82,0.154,29.975174,-95.433391
87,2025-03-01,2026-02-28,THE BEVERLY AT SHADOW LAKE,2920 SHADOWBRIAR DR,82,0.154,29.732427,-95.600831
88,2025-03-01,2026-02-28,FALCON AT GRAND HARBOR,1001 I-10,81,0.154,29.785784,-95.621062
89,2025-03-01,2026-02-28,NORTH BEND LIVING,14131 CORNERSTONE VILLAGE DR,80,0.154,29.986344,-95.481298
90,2025-03-01,2026-02-28,POST/FCP,3225 WOODLAND PARK DR,79,0.154,29.729181,-95.57854
91,2025-03-01,2026-02-28,"AR MYRIAD, LLC",1502 ENCLAVE PKWY,79,0.154,29.75395,-95.61859
92,2025-03-01,2026-02-28,MAIN SB LLC,8802 BW 8,78,0.154,29.933487,-95.25825
93,2025-03-01,2026-02-28,HARLOW SPRING CYPRESS,2539 SPRING CYPRESS RD,78,0.154,30.063363,-95.452761
94,2025-03-01,2026-02-28,TRADEWINDS APARTMENTS,1919 13TH AVE N,78,0.154,29.396493,-94.923681
95,2025-03-01,2026-02-28,EVERLY APARTMENTS,2827 DUNVALE RD,78,0.154,29.733813,-95.512305
96,2025-03-01,2026-02-28,THE PARK AT CUMBERLAND,505 CYPRESS STATION DR,77,0.154,30.031315,-95.43785
97,2025-03-01,2026-02-28,LAKECREST,1944 KATY MILLS BLVD,76,0.154,29.783948,-95.806985
98,2025-03-01,2026-02-28,THE LANDINGS AT NORTHPOINTE,220 NORTHPOINT DR,76,0.154,29.937507,-95.404139
99,2025-03-01,2026-02-28,THE AUBREY,2310 CRESCENT PARK DR,76,0.154,29.739271,-95.586008
100,2025-03-01,2026-02-28,AR ELDRIDGE LLC,1602 ENCLAVE PKWY,76,0.154,29.748578,-95.619093
